Ref, Tipo, Nickname, Nombre, Apellido, EMail, FechaNac, Nacionalidad, Descripción, Web
U1, T, lachiqui, Rosa María, Martínez, mirtha.legrand.ok@hotmail.com.ar, 23–2--1927, argentina,-,-
U2, T, isabelita, Elizabeth, Windsor, isabelita@thecrown.co.uk, 21–04--1926, inglesa,-,-
U3, T, anibal, Aníbal, Lecter, anibal@fing.edu.uy, 31–12--1937, lituana ,-,-
U4, T, waston, Emma, Waston, e.waston@gmail.com, 15–4--1990, inglesa,-,-
U5, T, elelvis, Elvis, Lacio, suavemente@hotmail.com, 30–07--1971, estadounidense,-,-
U6, T, eleven11, Eleven, Once, eleven11@gmail.com, 19–02--2004, española,-,-
U7, T, bobesponja, Bob, Esponja, bobesponja@nickelodeon.com, 01–05--1999, japonesa,-,-
U8, T, tony, Antonio, Pacheco, eltony@manya.org.uy, 11–04--1976, uruguaya,-,-
U9, T, chino, Álvaro, Recoba, chino@trico.org.uy, 17–03--1976 , uruguaya  ,-,-
U10, T, mastropiero, Johann Sebastian, Mastropiero, johann.sebastian@gmail.com, 07–02--1922, austríaca,-,-
U11, P, washington, Washington, Rocha, washington@turismorocha.gub.uy, 14–09--1970,-, Hola! me llamo Washington y soy el encargado del portal de turismo del departamento de Rocha - Uruguay, http://turismorocha.gub.uy/   
U12, P, eldiez, Pablo, Bengoechea, eldiez@socfomturriv.org.uy, 27–06--1965,-, Pablo es el presidente de la Sociedad de Fomento Turístico de Rivera (conocida como Socfomturriv), http://wwww.socfomturriv.org.uy 
U13, P, meche, Mercedes, Venn, meche@colonia.gub.uy, 31–12--1990,-, Departamento de Turismo del Departamento de Colonia, https://colonia.gub.uy/turismo/
